Attractor #,Attractor Type,Associated Cell Fate,Basin Size,ros,erstress,genotoxicity,insulrec,ras,erk12,irs1,akt,ikkalpha,tsc,pten,sk,grb10,hk2,rheb,mtorc1,mtorc2,ulk1,atg13,atgtwelve,beclin1,lcthree,autonutri,eif4,cyclinb,cyclind,cycline,cyclina,cdc25,eif2,rag,amp,ampk,hifone,redd1,bnip3,pkcdelta,jnk1,perk,pkctheta,pka,creb,p53,mdm2,p21,nrf2,atm,chkonetwo,brca1,p16,dram,p73,bclsurvival,bad,bclapoptotic,baxbak,cytochromec,apaf1,smacdiablo,aif,caspase9,caspases367,caspase8,etwof1,rb1,cmyc,smadr,rip13,tradd,parkin,fundc1,autodeath,mmp,rho,vegf,par,glu,aminoacids,gfr,oxygen,radiation,tgfr,tnfr,
21,Cyclic,Autophagy VeryLow + Apoptosis + Caspase Independent Cell Death,0.0101,1,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,1,2,1,2,2,2,0,2,2,2,2,2,1,2,2,0,1,2,1,1,1,1,1,1,1,2,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,
22,Cyclic,Quiescent + Autophagy Low + Mitophagy(L),0.0096,0,0,0,2,2,2,2,0,0,0,1,2,2,0,1,2,0,2,2,2,2,0,0,2,2,2,1,2,2,0,1,2,2,0,2,0,0,0,0,0,2,2,0,2,0,0,0,2,0,2,0,2,2,0,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,2,2,0,2,2,2,0,1,1,0,1,0,0,0,
23,Cyclic,Autophagy VeryLow + Apoptosis,0.0094,1,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,2,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,
24,Cyclic,Cell Proliferation + Autophagy Low + Mitophagy(L),0.0092,0,0,0,2,1,1,2,0,0,0,1,2,2,0,1,2,0,2,2,2,0,0,0,2,1,2,2,2,2,0,1,2,2,0,2,0,0,0,0,0,2,2,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,2,2,0,2,2,2,0,1,1,1,1,0,0,0,
25,Cyclic,Autophagy Low + Mitophagy(L),0.0091,0,0,0,2,2,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,2,2,2,2,2,2,0,1,2,2,0,2,0,0,0,0,0,2,2,0,2,0,0,0,2,0,2,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,0,2,0,2,0,1,1,0,1,0,0,0,
26,Cyclic,Quiescent + Autophagy Low + Mitophagy(L),0.0082,0,0,0,2,2,2,2,0,0,0,1,2,2,0,1,2,0,2,2,2,0,0,0,2,2,2,1,2,2,0,1,2,2,0,2,0,0,0,0,0,2,2,0,2,0,0,0,2,0,2,0,2,1,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,2,0,2,2,2,0,1,1,0,1,0,0,0,
27,Cyclic,Autophagy Low + Apoptosis + Mitophagy(L),0.0072,0,0,0,2,2,0,0,2,2,2,0,2,2,0,1,2,0,2,0,2,0,0,0,2,0,0,1,1,1,0,1,2,2,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,0,2,0,0,2,2,2,2,2,2,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,
28,Cyclic,Cell Proliferation + Autophagy Low + Mitophagy(L),0.0067,0,0,0,2,2,1,0,0,0,0,1,2,2,0,1,2,0,2,2,2,0,0,0,2,1,2,2,2,2,0,1,2,2,0,2,0,0,0,0,0,2,2,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,2,2,0,2,2,2,0,1,1,0,1,0,0,0,
29,Cyclic,Autophagy Low + Apoptosis + Mitophagy(L),0.0052,0,0,0,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2,0,0,0,2,0,2,1,2,2,0,1,2,2,0,2,0,0,0,0,0,2,2,0,2,0,0,0,2,0,2,0,2,2,0,0,2,2,2,2,2,2,1,2,2,2,0,0,0,0,2,0,0,2,0,0,0,1,1,0,1,0,0,0,
30,Cyclic,Autophagy VeryLow + Apoptosis,0.0049,1,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,1,0,0,2,2,2,2,2,1,2,1,2,1,0,1,1,1,1,1,1,1,1,1,2,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,
31,Cyclic,Cell Proliferation (H) + Autophagy Low + Mitophagy(L),0.0048,0,0,0,2,2,1,0,0,0,0,1,2,2,0,1,2,0,2,0,2,0,0,0,2,2,1,1,2,2,0,1,2,2,0,2,0,0,0,0,0,2,2,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,2,2,0,2,2,2,0,1,1,0,1,0,0,0,
32,Cyclic,Autophagy Low + Mitophagy(L),0.0046,0,0,0,2,2,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,0,0,2,2,2,1,1,1,0,1,2,2,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,2,2,2,0,1,0,0,0,0,2,2,0,2,0,2,0,1,1,0,1,0,0,0,
