Attractor #,Attractor Type,Associated Cell Fate,Basin Size,ros,erstress,genotoxicity,insulrec,ras,erk12,irs1,akt,ikkalpha,tsc,pten,sk,grb10,hk2,rheb,mtorc1,mtorc2,ulk1,atg13,atgtwelve,beclin1,lcthree,autonutri,eif4,cyclinb,cyclind,cycline,cyclina,cdc25,eif2,rag,amp,ampk,hifone,redd1,bnip3,pkcdelta,jnk1,perk,pkctheta,pka,creb,p53,mdm2,p21,nrf2,atm,chkonetwo,brca1,p16,dram,p73,bclsurvival,bad,bclapoptotic,baxbak,cytochromec,apaf1,smacdiablo,aif,caspase9,caspases367,caspase8,etwof1,rb1,cmyc,smadr,rip13,tradd,parkin,fundc1,autodeath,mmp,rho,vegf,par,oxygen,gfr,glu,aminoacids,radiation,tgfr,tnfr,
41,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0069,0,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,2,0,1,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,
42,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0069,1,1,1,1,2,0,2,0,0,1,2,2,2,0,2,2,2,1,2,1,0,0,0,2,0,0,0,0,0,2,2,2,1,2,1,2,1,1,2,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,2,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,0,0,1,1,1,0,0,0,
43,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0069,1,1,1,1,2,0,2,0,0,1,2,2,2,0,2,2,2,1,2,1,0,0,0,2,0,0,0,0,0,2,2,2,1,2,1,2,1,1,2,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,2,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,0,0,1,1,1,1,0,0,
44,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0069,1,1,1,1,2,0,1,0,0,1,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,2,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,
45,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0068,1,1,1,1,2,0,1,0,0,1,2,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,2,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,1,0,0,
46,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0068,0,1,1,1,0,0,2,0,0,1,2,2,2,0,1,2,2,1,2,1,0,0,0,2,0,0,0,0,0,2,2,0,1,0,0,0,1,1,2,1,0,0,2,0,1,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,
47,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0068,0,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,2,0,2,2,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,
48,Point,Autophagy Low + Apoptosis + E.Apoptosis,0.0068,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,
49,Cyclic,Autophagy High + Mitophagy(H),0.0067,0,2,0,2,1,1,0,0,0,0,1,2,2,0,1,2,0,1,2,1,1,2,2,2,0,0,0,0,0,1,0,2,2,0,2,0,0,1,2,2,2,2,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,2,2,0,1,1,0,0,0,0,0,
50,Cyclic,Autophagy Low + Apoptosis + E.Apoptosis,0.0067,0,1,1,1,0,0,2,0,0,1,2,2,2,0,1,2,2,1,2,1,0,0,0,2,0,0,0,0,0,2,2,0,1,0,0,0,1,1,2,1,0,0,2,0,1,1,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,
